Query,Time
how many days are in September?,10
How many days in a year?,13
How many days until christmas?,15
How many days until Thanksgiving?,15
How many fantasy points does LeBron James have?,23
How many ounces in a pound?,13
how many seconds are in a year?,22
how many teaspoons are in a tablespoon?,13
How much is an ounce of gold?,24
How old are you?,13
How old is Henry Winkler?,17
how old is Serena Williams?,17
how tall is Steph Curry?,15
how tall is the Empire State Building?,16
how tall is The Rock?,13
Is a tomato a fruit or a vegetable?,19
Pick a number?,13
Surprise me.,65
