Query, Time
Celebrate moms, 30
Are you always listening?, 30
Announce it's time to wake up, 30
How cold will it be today?, 30
Can you freeze yogurt?, 30
Sing a lullaby, 30
Tell me a math joke, 30
Sing a song, 30
Tell me a joke about you, 30
Name all the Star Wars movies, 30
Play white noise, 30
Surprise me, 30
Tell me a banana joke, 30
Play Twenty Questions, 30
Tell me a birthday joke, 30
Tell me a bathroom joke, 30
What’s the March Madness update?, 30
Tell me a fun fact of the day, 30
What can you do?, 30
What's my schedule today?, 30
Tell me a St. Patrick's Day limerick, 30
How's the weather this evening?, 30
What can I make with chicken and spinach?, 30
Make me laugh, 30
Play Yes Sire, 30
Who inspires you?, 30
Play romantic music, 30
Announce that dinner is ready, 30
What should I make for dinner?, 30
What's up?, 30
What's the weather for Sunday?, 30
Sing a blues song, 30
Recommend a podcast, 30
Help me relax, 30
What's the humidity, 30
What are today's top stocks?, 30
Tell me a superhero joke, 30
Give me a pancake joke, 30
Give me a round of applause, 30
Share the love, 30
Announce happy birthday!, 30
How cold will it be today?, 30
Play The Sims, 30
Drumroll please, 30
Who's going to win the big game?, 30
Make me laugh, 30
Tell me a football joke, 30
Tell me the joke of the day, 30
Recommend me a book, 30
Give me birthday theme ideas, 30
What will the weather be like tomorrow?, 30
What's the riddle of the day?, 30
Tell me three things to know, 30
How long should I hard boil an egg?, 30
Tell me a winter poem, 30
